,Unnamed: 0,Unnamed: 0.1,postcode,age_0_14,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85_plus,tot_P,both_par_os,both_par_aus,f_only_os,m_only_os,born_aus,born_os,diversity,suburb,lat,lon,diversity_std,age_diversity_std
84,84,84,3039,2269,1758,2479,2146,1928,1571,1028,693,396,14250,0.411681125,0.463131917,0.076278792,0.048908165999999996,0.7229945729999999,0.27700542699999997,18631.42282,MOONEE PONDS,-37.765707,144.919163,0.08793088199999999,0.9835246409429947
85,85,85,3040,4281,3591,4127,3445,3835,3112,1785,1075,686,25936,0.38027880299999994,0.49134891299999994,0.072775728,0.055596556,0.7599230709999999,0.240076929,29336.333389999996,ESSENDON WEST,-37.753802,144.888271,0.13845263900000002,0.9824213750332319
86,86,86,3040,4281,3591,4127,3445,3835,3112,1785,1075,686,25936,0.38027880299999994,0.49134891299999994,0.072775728,0.055596556,0.7599230709999999,0.240076929,29336.333389999996,ABERFELDIE,-37.75669,144.89625900000001,0.13845263900000002,0.9824213750332319
87,87,87,3040,4281,3591,4127,3445,3835,3112,1785,1075,686,25936,0.38027880299999994,0.49134891299999994,0.072775728,0.055596556,0.7599230709999999,0.240076929,29336.333389999996,ESSENDON,-37.754973,144.917407,0.13845263900000002,0.9824213750332319
88,88,88,3041,2282,1647,1508,1775,1831,1532,942,580,332,12412,0.35694753,0.514100154,0.078704495,0.050247821,0.787016528,0.21298347199999998,12501.26427,STRATHMORE HEIGHTS,-37.716678,144.897568,0.058999637,0.9836212756689684
89,89,89,3041,2282,1647,1508,1775,1831,1532,942,580,332,12412,0.35694753,0.514100154,0.078704495,0.050247821,0.787016528,0.21298347199999998,12501.26427,ESSENDON NORTH,-37.744374,144.909853,0.058999637,0.9836212756689684
90,90,90,3041,2282,1647,1508,1775,1831,1532,942,580,332,12412,0.35694753,0.514100154,0.078704495,0.050247821,0.787016528,0.21298347199999998,12501.26427,STRATHMORE,-37.735876,144.919176,0.058999637,0.9836212756689684
91,91,91,3042,2686,1583,2248,2365,2135,1677,1527,1088,460,15766,0.425786502,0.44528099,0.079792955,0.049139554,0.733324359,0.266675641,19811.47076,AIRPORT WEST,-37.711698,144.88703700000005,0.09350011,0.9909704530208706
92,92,92,3042,2686,1583,2248,2365,2135,1677,1527,1088,460,15766,0.425786502,0.44528099,0.079792955,0.049139554,0.733324359,0.266675641,19811.47076,NIDDRIE,-37.736031,144.889072,0.09350011,0.9909704530208706
93,93,93,3042,2686,1583,2248,2365,2135,1677,1527,1088,460,15766,0.425786502,0.44528099,0.079792955,0.049139554,0.733324359,0.266675641,19811.47076,KEILOR PARK,-37.72465,144.850373,0.09350011,0.9909704530208706
94,94,94,3043,2948,1963,2625,2456,2163,2109,2101,1062,313,17716,0.50505846,0.378930151,0.06918277099999999,0.046828617999999995,0.661757546,0.33824245399999997,27791.689189999997,GLADSTONE PARK,-37.68861,144.88362800000004,0.131162701,0.9891824083884151
